Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,geographic_km,zone_pair,temp_bin
eDNA26,eDNA9,-4.5558144008970904,0.93,Homogeneous Selection,eDNA26,eDNA9,0.49118151778406965,ANE,20.25656910985708,-14.5402,ANW,23.814783163368705,-62.128333,0.5088184822159303,3.5582140535116267,47.588133,4368.935536287189,ANE-ANW,"[2,4)"
eDNA27,eDNA9,-4.24505678158715,1,Homogeneous Selection,eDNA27,eDNA9,0.4519849230218172,ANE,20.502670370042324,-11.687733,ANW,23.814783163368705,-62.128333,0.5480150769781829,3.3121127933263814,50.440599999999996,4620.225748927848,ANE-ANW,"[2,4)"
eDNA28,eDNA9,-4.66566865211803,0.96,Homogeneous Selection,eDNA28,eDNA9,0.4595672598416801,ANE,21.50245673954487,-7.874533,ANW,23.814783163368705,-62.128333,0.5404327401583199,2.312326423823837,54.2538,4960.7961509627585,ANE-ANW,"[2,4)"
eDNA3,eDNA9,-3.2524612074836,-0.4,Homogeneous Selection,eDNA3,eDNA9,0.08597826755527592,ANW,26.101474039256573,-75.508383,ANW,23.814783163368705,-62.128333,0.9140217324447241,2.2866908758878672,13.380049999999997,1280.1674714883106,ANW-ANW,"[2,4)"
eDNA4,eDNA9,-4.34628012333477,0.67,Homogeneous Selection,eDNA4,eDNA9,0.12118994661001033,ANW,27.20014037936926,-74.85995,ANW,23.814783163368705,-62.128333,0.8788100533899896,3.3853572160005534,12.731617,1209.867072875066,ANW-ANW,"[2,4)"
eDNA6,eDNA9,-2.9500959375383,0.32,Homogeneous Selection,eDNA6,eDNA9,0.15400792578537953,ANW,24.7383953332901,-69.329683,ANW,23.814783163368705,-62.128333,0.8459920742146205,0.9236121699213946,7.201350000000005,681.1592722332905,ANW-ANW,"[0,1)"
eDNA7,eDNA9,-1.61656311305059,-0.65,Drift,eDNA7,eDNA9,0.11311926581901043,ANW,24.250587478280067,-67.287833,ANW,23.814783163368705,-62.128333,0.8868807341809896,0.43580431491136196,5.159500000000008,487.88570788913285,ANW-ANW,"[0,1)"
eDNA1,eDNA15,-1.35156063339496,1,Dispersal Limitation,eDNA1,eDNA15,0.5375360242807414,ANW,26.81560716032982,-77.936917,ANC,21.62990203499794,-44.0762,0.46246397571925857,5.185705125331879,33.860716999999994,3236.2118883380613,ANC-ANW,"[4,6)"
eDNA18,eDNA15,-4.04589268961822,-0.49,Homogeneous Selection,eDNA15,eDNA18,0.30927255242416624,ANC,21.02490310370922,-34.595667,ANC,21.62990203499794,-44.0762,0.6907274475758338,0.6049989312887192,9.480533000000001,881.7471952942735,ANC-ANC,"[0,1)"
eDNA19,eDNA15,-3.70639041586222,-0.01,Homogeneous Selection,eDNA15,eDNA19,0.3035263092493601,ANC,20.126926481723785,-32.055683,ANC,21.62990203499794,-44.0762,0.6964736907506399,1.5029755532741547,12.020516999999998,1130.2905493672547,ANC-ANC,"[1,2)"
eDNA25,eDNA15,-4.05243527361071,-0.15,Homogeneous Selection,eDNA15,eDNA25,0.34837296187375877,ANE,19.737266153097153,-17.887783,ANC,21.62990203499794,-44.0762,0.6516270381262412,1.8926358819007874,26.188417,2386.6578780691893,ANC-ANE,"[1,2)"
eDNA26,eDNA15,-3.21896775595567,0.39,Homogeneous Selection,eDNA15,eDNA26,0.337519228186771,ANE,20.25656910985708,-14.5402,ANC,21.62990203499794,-44.0762,0.6624807718132291,1.3733329251408612,29.536,2685.734294561717,ANC-ANE,"[1,2)"
eDNA27,eDNA15,-3.69134303961301,0.47,Homogeneous Selection,eDNA15,eDNA27,0.2897750909592377,ANE,20.502670370042324,-11.687733,ANC,21.62990203499794,-44.0762,0.7102249090407623,1.127231664955616,32.388467,2940.085219319752,ANC-ANE,"[1,2)"
eDNA28,eDNA15,-3.64631723677644,0.01,Homogeneous Selection,eDNA15,eDNA28,0.2856433549521445,ANE,21.50245673954487,-7.874533,ANC,21.62990203499794,-44.0762,0.7143566450478556,0.1274452954530716,36.201667,3282.8182863479183,ANC-ANE,"[0,1)"
eDNA3,eDNA15,-2.42679601164098,0.65,Homogeneous Selection,eDNA15,eDNA3,0.2960930932499172,ANW,26.101474039256573,-75.508383,ANC,21.62990203499794,-44.0762,0.7039069067500827,4.471572004258633,31.432182999999995,2967.697063075061,ANC-ANW,"[4,6)"
eDNA4,eDNA15,-2.85475934426621,0.82,Homogeneous Selection,eDNA15,eDNA4,0.32092802228911765,ANW,27.20014037936926,-74.85995,ANC,21.62990203499794,-44.0762,0.6790719777108823,5.570238344371319,30.783749999999998,2892.2546570299946,ANC-ANW,"[4,6)"
eDNA6,eDNA15,-1.85390850882782,0.67,Drift,eDNA15,eDNA6,0.29582881639334124,ANW,24.7383953332901,-69.329683,ANC,21.62990203499794,-44.0762,0.7041711836066588,3.10849329829216,25.253483000000003,2367.805888751427,ANC-ANW,"[2,4)"
eDNA7,eDNA15,-2.1357517849195,-0.51,Homogeneous Selection,eDNA15,eDNA7,0.30103385172365715,ANW,24.250587478280067,-67.287833,ANC,21.62990203499794,-44.0762,0.6989661482763428,2.6206854432821274,23.211633000000006,2178.0633636170364,ANC-ANW,"[2,4)"
eDNA9,eDNA15,-3.34367454653423,-0.49,Homogeneous Selection,eDNA15,eDNA9,0.23812103130338777,ANW,23.814783163368705,-62.128333,ANC,21.62990203499794,-44.0762,0.7618789686966122,2.1848811283707654,18.052132999999998,1698.964214923562,ANC-ANW,"[2,4)"
eDNA1,eDNA16,-1.34082042810894,1,Dispersal Limitation,eDNA1,eDNA16,0.5908398857814691,ANW,26.81560716032982,-77.936917,ANC,21.18457594513893,-40.685317,0.40916011421853093,5.6310312151908875,37.251599999999996,3547.4825734287647,ANC-ANW,"[4,6)"
eDNA18,eDNA16,-3.52707820611339,-0.88,Homogeneous Selection,eDNA16,eDNA18,0.21472089417726992,ANC,21.02490310370922,-34.595667,ANC,21.18457594513893,-40.685317,0.7852791058227301,0.1596728414297104,6.089649999999999,570.969413574995,ANC-ANC,"[0,1)"
eDNA19,eDNA16,-4.23582089348374,-0.62,Homogeneous Selection,eDNA16,eDNA19,0.20037638322685863,ANC,20.126926481723785,-32.055683,ANC,21.18457594513893,-40.685317,0.7996236167731414,1.0576494634151459,8.629633999999996,825.2192323178361,ANC-ANC,"[1,2)"
eDNA25,eDNA16,-3.75274879851899,-0.56,Homogeneous Selection,eDNA16,eDNA25,0.27787174063239595,ANE,19.737266153097153,-17.887783,ANC,21.18457594513893,-40.685317,0.722128259367604,1.4473097920417786,22.797534,2073.8652235345166,ANC-ANE,"[1,2)"
eDNA26,eDNA16,-2.774963006954,-0.49,Homogeneous Selection,eDNA16,eDNA26,0.2869936731255549,ANE,20.25656910985708,-14.5402,ANC,21.18457594513893,-40.685317,0.7130063268744451,0.9280068352818525,26.145117,2373.4666825769154,ANC-ANE,"[0,1)"
eDNA27,eDNA16,-3.44040987941636,-0.2,Homogeneous Selection,eDNA16,eDNA27,0.2386636398954719,ANE,20.502670370042324,-11.687733,ANC,21.18457594513893,-40.685317,0.7613363601045281,0.6819055750966072,28.997583999999996,2628.2218713383977,ANC-ANE,"[0,1)"
eDNA28,eDNA16,-3.53525417521373,-0.22,Homogeneous Selection,eDNA16,eDNA28,0.2348877174092658,ANE,21.50245673954487,-7.874533,ANC,21.18457594513893,-40.685317,0.7651122825907342,0.3178807944059372,32.810784,2971.1520684560787,ANC-ANE,"[0,1)"
eDNA3,eDNA16,-2.58045244046003,0.46,Homogeneous Selection,eDNA16,eDNA3,0.3932476614823515,ANW,26.101474039256573,-75.508383,ANC,21.18457594513893,-40.685317,0.6067523385176485,4.9168980941176414,34.823066,3277.9585555997387,ANC-ANW,"[4,6)"
eDNA4,eDNA16,-2.63727800480153,0.62,Homogeneous Selection,eDNA16,eDNA4,0.40037947939053364,ANW,27.20014037936926,-74.85995,ANC,21.18457594513893,-40.685317,0.5996205206094664,6.015564434230328,34.174633,3201.862056739072,ANC-ANW,"[6,8)"
eDNA6,eDNA16,-1.82485176796437,0.24,Drift,eDNA16,eDNA6,0.38882688682762007,ANW,24.7383953332901,-69.329683,ANC,21.18457594513893,-40.685317,0.6111731131723799,3.553819388151169,28.644366000000005,2678.668035171355,ANC-ANW,"[2,4)"
eDNA7,eDNA16,-2.20571068502378,-0.34,Homogeneous Selection,eDNA16,eDNA7,0.3751080353251398,ANW,24.250587478280067,-67.287833,ANC,21.18457594513893,-40.685317,0.6248919646748602,3.066011533141136,26.60251600000001,2489.5813044952342,ANC-ANW,"[2,4)"
eDNA9,eDNA16,-3.2006473081567,-0.17,Homogeneous Selection,eDNA16,eDNA9,0.3377529336733716,ANW,23.814783163368705,-62.128333,ANC,21.18457594513893,-40.685317,0.6622470663266284,2.630207218229774,21.443016,2011.8954309935643,ANC-ANW,"[2,4)"
eDNA15,eDNA16,-5.72059009603244,-1,Homogeneous Selection,eDNA15,eDNA16,0.09619324709420754,ANC,21.62990203499794,-44.0762,ANC,21.18457594513893,-40.685317,0.9038067529057925,0.4453260898590088,3.3908830000000023,313.75795058645343,ANC-ANC,"[0,1)"
eDNA1,eDNA17,-1.27629943803483,1,Dispersal Limitation,eDNA1,eDNA17,0.5750493219392816,ANW,26.81560716032982,-77.936917,ANC,20.84838404506445,-37.395217,0.4249506780607184,5.967223115265369,40.54169999999999,3845.2985364071587,ANC-ANW,"[4,6)"
eDNA18,eDNA17,-4.56831050113414,-1,Homogeneous Selection,eDNA17,eDNA18,0.14891972039646323,ANC,21.02490310370922,-34.595667,ANC,20.84838404506445,-37.395217,0.8510802796035368,0.17651905864477158,2.7995500000000035,256.1678740926174,ANC-ANC,"[0,1)"
