Module,Rank,Taxon,ASV_count,Degree_sum,Mean_relative_abundance_pct_sum,Percent_nodes_within_module,Percent_degree_within_module,Percent_abundance_within_module
1,Genus,Marinoscillum,2,74,0.030810030606692594,1.2987012987012987,1.5448851774530272,0.05010395445642935
1,Genus,Mesonia,1,8,0.024104961297863985,0.6493506493506493,0.16701461377870563,0.03920002217653816
1,Genus,Zunongwangia,1,13,0.021799102026965313,0.6493506493506493,0.27139874739039666,0.035450182737334676
1,Genus,Halioxenophilus,1,8,0.01974035698754114,0.6493506493506493,0.16701461377870563,0.0321022059368734
1,Genus,Maricaulis,1,42,0.015604311438409221,0.6493506493506493,0.8768267223382046,0.025376077019026506
1,Genus,Aestuariibacter,1,16,0.013358714854643973,0.6493506493506493,0.33402922755741127,0.02172423809693056
1,Genus,Alcanivorax,1,2,0.012517815371030553,0.6493506493506493,0.04175365344467641,0.020356748724159553
1,Genus,Ponticaulis,1,41,0.010438772808012304,0.6493506493506493,0.8559498956158664,0.016975763641080246
1,Genus,Lentimonas,1,21,0.010324277170219057,0.6493506493506493,0.4384133611691023,0.016789568297924485
1,Genus,Epibacterium,1,10,0.009822462986948671,0.6493506493506493,0.20876826722338204,0.015973506953970214
1,Genus,Litoricola,1,12,0.009764617415868107,0.6493506493506493,0.25052192066805845,0.015879437204545908
1,Genus,Oceanicaulis,1,2,0.008922175659693747,0.6493506493506493,0.04175365344467641,0.01450943975396286
1,Genus,Fluviicola,1,39,0.00886355840790456,0.6493506493506493,0.81419624217119,0.014414115080271413
1,Genus,Methylophaga,1,2,0.007139338355523675,0.6493506493506493,0.04175365344467641,0.011610150226092129
1,Genus,Blastopirellula,1,18,0.007051205783478489,0.6493506493506493,0.3757828810020877,0.01146682708460454
1,Genus,Sva0996 marine group,1,11,0.005441183397191816,0.6493506493506493,0.22964509394572025,0.008848573005401638
1,Genus,Peredibacter,1,12,0.00453893843787057,0.6493506493506493,0.25052192066805845,0.007381322260751128
1,Genus,Pelagibius,1,9,0.0038047271022216673,0.6493506493506493,0.18789144050104384,0.006187331518179263
2,Genus,Prochlorococcus MIT9313,3,69,5.9693816525068,2.5641025641025643,2.4634059264548376,26.62564841467226
2,Genus,Unclassified genus,53,1365,5.045435805429551,45.2991452991453,48.73259550160657,22.50450845235397
2,Genus,Synechococcus CC9902,6,158,4.750144679664081,5.128205128205129,5.640842556229918,21.18740089376749
2,Genus,Clade Ib,5,134,1.5232502880151244,4.273504273504273,4.7840057122456265,6.794259267910457
2,Genus,NS4 marine group,10,269,0.9471191205853575,8.547008547008547,9.603712959657265,4.224501326855074
2,Genus,NS5 marine group,4,104,0.7536223214479393,3.4188034188034186,3.7129596572652623,3.3614340875483326
2,Genus,Lentimonas,1,8,0.7470327195415957,0.8547008547008547,0.28561228132809713,3.3320420275721907
2,Genus,Coraliomargarita,2,70,0.6814281579683199,1.7094017094017093,2.4991074616208495,3.0394214359376766
2,Genus,Urania-1B-19 marine sediment group,1,8,0.363623765976577,0.8547008547008547,0.28561228132809713,1.621896389225781
2,Genus,OM60(NOR5) clade,2,20,0.26772705812506675,1.7094017094017093,0.7140307033202428,1.1941616294108164
2,Genus,Ascidiaceihabitans,2,64,0.22147876906561237,1.7094017094017093,2.284898250624777,0.9878771671399122
2,Genus,MB11C04 marine group,2,26,0.19511256320426676,1.7094017094017093,0.9282399143163156,0.8702741442207373
2,Genus,Cyanobium PCC-6307,3,63,0.1887999620723566,2.5641025641025643,2.2491967154587647,0.8421176100762471
2,Genus,Balneola,1,29,0.1648211707451883,0.8547008547008547,1.035344519814352,0.7351633383523303
2,Genus,NS2b marine group,2,49,0.0956637760936183,1.7094017094017093,1.7493752231345947,0.42669579808470937
2,Genus,Clade Ia,1,5,0.08274732950826814,0.8547008547008547,0.1785076758300607,0.3690836724797055
2,Genus,SAR92 clade,2,68,0.07342779725783134,1.7094017094017093,2.427704391288825,0.3275151142044735
2,Genus,R76-B128,2,39,0.05140528320349925,1.7094017094017093,1.3923598714744734,0.2292865621447161
2,Genus,Candidatus Actinomarina,1,28,0.0511489070662086,0.8547008547008547,0.9996429846483399,0.22814302981745305
2,Genus,Litoricola,2,32,0.050099614488943,1.7094017094017093,1.1424491253123885,0.22346279711116143
2,Genus,Pseudoalteromonas,1,12,0.040320096062204734,0.8547008547008547,0.42841842199214564,0.17984253048173682
2,Genus,Arcticiflavibacter,1,11,0.03554842714180261,0.8547008547008547,0.39271688682613354,0.1585591235190588
2,Genus,Candidatus Puniceispirillum,1,35,0.02298947196571743,0.8547008547008547,1.2495537308104248,0.10254154172586796
