Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,zone_pair,temp_bin,pair_key,back_ab,back_ba,fwd_ab,fwd_ba,bmin_ab,bmin_ba,fmin_ab,fmin_ba,bi_connectivity_mean,bi_connectivity_max,bi_connected,bi_min_travel_days,directed_link_count,tina_dist,pina_dist,bray,bray_similarity,tina_similarity
eDNA27,eDNA28,-3.74887938769291,-0.23,Homogeneous Selection,eDNA27,eDNA28,0.07066852766463214,ANE,20.502670370042324,-11.687733,ANE,21.50245673954487,-7.874533,0.9293314723353678,0.9997863695025444,3.8132,ANE-ANE,"[0,1)",eDNA27__eDNA28,0,0,0.02040816326530612,0,NA,NA,165.75,NA,0.00510204081632653,0.02040816326530612,TRUE,165.75,1,0.0286423797899111,3.6731836094683e-4,0.338755591703945,0.661244408296055,0.9713576202100889
eDNA1,eDNA3,-2.08779926269865,1,Homogeneous Selection,eDNA1,eDNA3,0.419727475678652,ANW,26.81560716032982,-77.936917,ANW,26.101474039256573,-75.508383,0.580272524321348,0.714133121073246,2.428533999999999,ANW-ANW,"[0,1)",eDNA1__eDNA3,0,0.08163265306122448,0.9183673469387755,0.14285714285714285,NA,23.25,14.25,106,0.2857142857142857,0.9183673469387755,TRUE,14.25,3,0.330366620197456,0.00504709944791337,0.68521931441209,0.31478068558790995,0.669633379802544
eDNA18,eDNA3,-2.85891499035428,0.96,Homogeneous Selection,eDNA18,eDNA3,0.6194462296934965,ANC,21.02490310370922,-34.595667,ANW,26.101474039256573,-75.508383,0.3805537703065035,5.076570935547352,40.912716,ANC-ANW,"[4,6)",eDNA18__eDNA3,0.02040816326530612,0,0,0,280.75,NA,NA,NA,0.00510204081632653,0.02040816326530612,TRUE,280.75,1,0.29558367956116,6.6123181080801e-4,0.689182805857345,0.31081719414265496,0.7044163204388401
eDNA19,eDNA3,-2.94448788674015,1,Homogeneous Selection,eDNA19,eDNA3,0.6115658447769851,ANC,20.126926481723785,-32.055683,ANW,26.101474039256573,-75.508383,0.38843415522301494,5.974547557532787,43.45269999999999,ANC-ANW,"[4,6)",eDNA19__eDNA3,0.02040816326530612,0,0,0,270.75,NA,NA,NA,0.00510204081632653,0.02040816326530612,TRUE,270.75,1,0.313956865574873,8.694007870037e-4,0.726075504828797,0.273924495171203,0.686043134425127
eDNA25,eDNA3,-2.33654127601064,1,Homogeneous Selection,eDNA25,eDNA3,0.572294285554214,ANE,19.737266153097153,-17.887783,ANW,26.101474039256573,-75.508383,0.427705714445786,6.36420788615942,57.6206,ANE-ANW,"[6,8)",eDNA25__eDNA3,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.294904168071621,7.6228457619276e-4,0.697166744078031,0.30283325592196897,0.705095831928379
eDNA26,eDNA3,-2.91357257884863,0.99,Homogeneous Selection,eDNA26,eDNA3,0.5557655082200271,ANE,20.25656910985708,-14.5402,ANW,26.101474039256573,-75.508383,0.4442344917799729,5.844904929399494,60.968183,ANE-ANW,"[4,6)",eDNA26__eDNA3,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.294621711197139,0.0011109054630174,0.702448210922787,0.297551789077213,0.705378288802861
eDNA27,eDNA3,-2.17644122489104,1,Homogeneous Selection,eDNA27,eDNA3,0.5184935157877725,ANE,20.502670370042324,-11.687733,ANW,26.101474039256573,-75.508383,0.4815064842122275,5.598803669214249,63.82064999999999,ANE-ANW,"[4,6)",eDNA27__eDNA3,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.295743208703355,6.5792427604705e-4,0.684863523573201,0.315136476426799,0.704256791296645
eDNA28,eDNA3,-2.58404651838751,0.99,Homogeneous Selection,eDNA28,eDNA3,0.5254647098688053,ANE,21.50245673954487,-7.874533,ANW,26.101474039256573,-75.508383,0.47453529013119466,4.599017299711704,67.63385,ANE-ANW,"[4,6)",eDNA28__eDNA3,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.270358229110101,6.4909679338831e-4,0.654817987152034,0.345182012847966,0.729641770889899
eDNA1,eDNA4,-2.31064055735755,1,Homogeneous Selection,eDNA1,eDNA4,0.3566961739515855,ANW,26.81560716032982,-77.936917,ANW,27.20014037936926,-74.85995,0.6433038260484145,0.38453321903944016,3.076966999999996,ANW-ANW,"[0,1)",eDNA1__eDNA4,0,0,0.5918367346938775,0.14285714285714285,NA,NA,27.25,100.25,0.18367346938775508,0.5918367346938775,TRUE,27.25,2,0.230880114429846,0.00535447692135771,0.598726114649682,0.40127388535031805,0.769119885570154
eDNA18,eDNA4,-1.8036157582196,0.98,Dispersal Limitation,eDNA18,eDNA4,0.6133928958277252,ANC,21.02490310370922,-34.595667,ANW,27.20014037936926,-74.85995,0.3866071041722749,6.175237275660038,40.264283,ANC-ANW,"[6,8)",eDNA18__eDNA4,0.02040816326530612,0,0,0,282,NA,NA,NA,0.00510204081632653,0.02040816326530612,TRUE,282,1,0.320585817486547,5.6222567469288e-4,0.682672233820459,0.31732776617954095,0.679414182513453
